,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
URI1,1.4680296,-0.28533638,0.13588071,0.51804185,-0.12860596,-0.2691716,0.0025480986,-0.06848276,-0.005108118,-0.25766492,-0.082457066,0.0036418438,0.05506575,-0.0009268522,0.1961708,0.008746982,-0.12233555,-0.076279044,-0.061163306,-0.14894307
URM1,0.8352697,0.14943182,0.13323724,-0.022159517,-0.14908314,-0.02425164,-0.007160008,-0.25567263,0.012366474,-0.4395157,-0.0755623,0.014957786,-0.14680326,0.08056164,0.59648603,0.0043973327,-0.0614509,-1.0844783,-0.13276488,-0.0025898218
UROD,-0.097984076,0.19877851,0.30751228,0.9349823,0.23461878,0.8947432,-0.021636486,0.32460988,0.0021487474,0.00011026859,0.012856722,0.1386255,0.48868656,0.27261972,0.19504726,0.007495284,0.10164082,-0.20738542,0.06726384,0.12432933
UROS,0.6517172,-0.057207048,0.2925977,0.52862465,0.019906461,0.43698847,-0.0116452575,0.08273274,-0.021401048,-0.20178258,-0.06873906,0.1015529,0.1139611,0.20938367,0.44921786,0.00949651,-0.038929284,-0.48897862,-0.0729084,0.18573254
USB1,-0.29044747,0.0012695789,-0.3686428,-0.60996413,-0.004774332,-0.6718695,0.011843443,-0.18802285,0.049978495,-0.08351207,0.013357401,-0.028926134,0.13199449,0.013917685,-0.71219206,-0.017946959,0.17200708,-0.36270022,-0.05889535,0.06681681
USE1,0.60676336,0.020110607,0.1441896,-0.08030534,-0.18143058,-0.38183928,0.0019669533,-0.037801266,0.026333332,-0.10625124,0.018298626,0.26500225,0.018811226,0.011134148,0.90829134,0.020486116,-0.047641993,-0.36156178,0.025522709,0.20308495
USF1,0.02809167,0.5540371,-0.04889369,-0.36172867,0.1668036,-0.9226322,-0.005298853,0.07762015,-0.007903576,0.06173253,0.13481379,0.20657182,-0.38713217,-0.32761395,0.23730099,0.02015829,0.13825595,-0.39551258,0.14003515,0.17703772
USF2,0.7149488,0.17345175,0.34854412,-0.6146439,-0.10050535,-0.2974078,0.02580136,-0.21498501,0.0567019,-0.15510693,0.09394437,-0.16226098,-0.06284267,-0.15442818,0.7370718,-0.013059378,-0.042061508,-0.68196803,0.20569116,0.22502393
USF3,0.7623166,-0.12837648,-0.3692478,-0.13880879,-0.268884,0.069098175,-0.014637411,-0.08093864,0.025124848,-0.23749322,-0.023709238,-0.078623,-0.26807785,-0.006738305,-0.6277785,-0.003954768,-0.011852384,0.04645288,-0.1466617,-0.32962114
USO1,0.6339111,-0.19728169,-0.03494695,0.32945573,-0.009153038,-0.70471245,0.013125688,0.02142638,0.010610372,-0.32438338,-0.102933496,-0.00072717667,0.14924482,0.10616854,-0.7612147,0.004772097,0.006778538,-0.23948625,-0.047771633,-0.23032129
