,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
TIMM44,-0.04593432,0.37376583,0.11047423,0.19964874,-0.23673475,-0.07150471,0.34050345,0.39414763,-0.19802153,0.43486953,0.07605553,-0.07480085,-0.28177798,0.036218762,0.9445131,0.5567461
TIMM50,-0.051560998,0.53204,0.1600653,0.20918101,-0.2315551,-0.20166337,0.1550436,0.4305035,-0.15782267,0.37294328,0.06877184,0.039190054,-0.36088675,-0.031518936,0.83250105,0.55347234
TIMM8A,0.14615282,-0.09178892,0.18034466,0.14038906,-0.022998452,0.07280782,-0.015441328,0.06911717,0.114181265,0.098634884,-0.010964274,0.050941855,0.2381958,0.065012276,1.0297842,0.2972804
TIMM8B,0.4897803,-0.9113461,0.122746825,-0.26130676,0.11411011,0.07561445,-0.513801,0.0518322,-0.26625395,0.4379958,-0.23803413,-0.3017217,0.35846233,0.035497546,0.14645159,0.5212635
TIMM9,0.16169548,-0.0005111098,0.16767979,0.13638735,-0.115558505,-0.18350035,-0.050202012,0.059081614,-0.34186542,0.19394457,0.21264553,0.088109076,-0.2236396,0.15764683,1.1750505,0.43896735
TIMMDC1,-0.024732947,-0.23387074,0.13586283,-0.44345558,-0.04940629,0.034868717,-0.31589568,0.08729696,-0.079768896,0.6283492,-0.111082196,-0.36785007,0.15230477,-0.082311034,0.47269762,0.27896762
TIMP1,0.62074363,0.4480034,-0.011724234,0.023123622,-0.19691288,-0.0877887,-0.20045936,-0.12202561,-0.3232509,0.28717816,0.15030503,0.7320404,-0.24984777,-0.23216307,-0.102198124,-0.0582546
TIMP2,0.11034608,-0.079113245,0.13756156,-0.7325113,0.032037497,0.48407316,-0.04810691,-0.060671568,-0.3716886,0.22901297,-0.1121223,0.013023615,0.39656162,-0.17929673,-0.1640141,-0.6570637
TIMP3,-0.4735425,0.18757135,-0.22315085,-0.15042275,0.4594609,-0.19344985,0.19462407,-0.37056804,-0.110411644,0.031897426,0.46526343,0.74188113,-0.45432597,-0.2364561,0.52109957,0.3027737
TINF2,-0.12444854,0.3350705,0.09738654,-0.20503253,-0.1801148,-0.07709861,-0.3888145,0.2576247,-0.3000185,0.43996423,-0.19372702,-0.14630705,-0.04733652,-0.1362145,0.21407306,-0.4740551
TIPARP,-0.26681125,0.101071596,0.023788214,0.44424832,-0.18151104,-0.07067323,-0.30355453,-0.19624233,0.14167726,-0.4745394,0.20498633,0.008836389,-0.05913973,0.030723214,0.7397145,-0.24269223
TIPARP-AS1,-0.08691549,0.019057095,-0.06882697,0.16790926,0.33575296,-0.025208294,0.07966906,0.07158518,-0.13993084,0.27767718,0.06745607,-0.2921328,-0.24521649,0.026999414,0.90115964,-0.08867085
