pc,eigenvalue,var_explained,cum_var
382,1.337552,0.00011745086,0.9683701
383,1.3329083,0.0001170431,0.96848714
384,1.331477,0.00011691742,0.9686041
385,1.3295251,0.00011674602,0.96872085
386,1.326947,0.00011651963,0.9688374
387,1.3230468,0.00011617716,0.96895355
388,1.3186888,0.00011579448,0.96906936
389,1.317827,0.0001157188,0.96918505
390,1.3145709,0.000115432886,0.9693005
391,1.3103273,0.000115060255,0.96941555
392,1.3072307,0.000114788345,0.96953034
393,1.3060645,0.000114685936,0.969645
394,1.3004246,0.00011419069,0.9697592
395,1.2981814,0.00011399372,0.9698732
396,1.2969772,0.000113887974,0.9699871
397,1.2903365,0.00011330486,0.9701004
398,1.2881738,0.00011311495,0.97021353
399,1.2849503,0.00011283189,0.97032636
400,1.281862,0.00011256071,0.9704389
401,1.2799829,0.000112395704,0.9705513
402,1.273509,0.00011182723,0.97066313
403,1.2716264,0.00011166191,0.97077477
404,1.2699279,0.00011151277,0.9708863
405,1.2687895,0.00011141281,0.9709977
406,1.2641368,0.00011100425,0.9711087
407,1.2619845,0.00011081526,0.9712195
408,1.2602565,0.000110663525,0.97133017
409,1.259373,0.000110585934,0.97144073
410,1.2557503,0.00011026783,0.971551
411,1.25329,0.0001100518,0.97166103
412,1.2483233,0.00010961566,0.97177064
413,1.244805,0.00010930672,0.97187996
414,1.2410821,0.00010897981,0.9719889
415,1.2392896,0.000108822416,0.97209775
416,1.234903,0.00010843722,0.9722062
417,1.2323871,0.0001082163,0.9723144
418,1.2313577,0.00010812591,0.97242254
419,1.2283764,0.00010786412,0.9725304
420,1.2237673,0.00010745939,0.9726379
421,1.2228862,0.000107382024,0.9727453
422,1.2222588,0.00010732693,0.97285265
423,1.217748,0.00010693084,0.9729596
424,1.2151282,0.00010670079,0.9730663
425,1.2127674,0.000106493484,0.9731728
426,1.2115564,0.00010638715,0.9732792
427,1.208302,0.00010610138,0.9733853
428,1.2058289,0.00010588422,0.97349113
429,1.2041622,0.00010573787,0.9735969
430,1.2025328,0.00010559478,0.9737025
431,1.1989534,0.00010528047,0.97380775
432,1.197464,0.000105149695,0.9739129
433,1.1939659,0.000104842526,0.97401774
434,1.1895453,0.000104454346,0.97412217
435,1.1848084,0.000104038394,0.9742262
436,1.1830343,0.000103882616,0.97433007
437,1.1821249,0.000103802755,0.9744339
438,1.1802157,0.00010363512,0.97453755
439,1.177977,0.00010343853,0.97464097
440,1.1732365,0.00010302227,0.97474396
441,1.1714523,0.0001028656,0.97484684
442,1.1703963,0.00010277287,0.9749496
443,1.1687397,0.0001026274,0.97505224
444,1.1642225,0.00010223074,0.97515446
445,1.160705,0.00010192187,0.9752564
446,1.1593087,0.00010179926,0.9753582
447,1.1543036,0.00010135976,0.9754596
448,1.1522509,0.00010117952,0.9755608
449,1.1492159,0.000100913014,0.9756617
450,1.1483707,0.0001008388,0.97576255
451,1.1434952,0.000100410674,0.975863
452,1.1405138,0.00010014888,0.9759631
453,1.1358804,9.9742014e-05,0.97606283
454,1.1349475,9.96601e-05,0.9761625
455,1.1311666,9.932809e-05,0.9762618
456,1.1297026,9.919954e-05,0.976361
457,1.1278703,9.903865e-05,0.97646004
458,1.1265078,9.8919e-05,0.976559
459,1.124008,9.86995e-05,0.9766577
460,1.1195843,9.831105e-05,0.976756
461,1.118615,9.822594e-05,0.9768542
462,1.1166452,9.8052966e-05,0.97695225
463,1.1151869,9.7924916e-05,0.9770502
464,1.1113623,9.758908e-05,0.97714776
465,1.110055,9.747428e-05,0.9772452
466,1.1069868,9.720486e-05,0.9773424
467,1.1052774,9.705476e-05,0.97743946
468,1.1026624,9.682514e-05,0.97753626
469,1.0994985,9.654731e-05,0.9776328
470,1.0967565,9.630653e-05,0.97772914
471,1.0935578,9.602566e-05,0.97782516
472,1.0873189,9.5477815e-05,0.97792065
473,1.0868034,9.543255e-05,0.9780161
474,1.0857794,9.5342635e-05,0.97811145
475,1.0819124,9.5003066e-05,0.97820646
476,1.081454,9.496282e-05,0.9783014
477,1.0777473,9.463733e-05,0.97839606
478,1.0755789,9.444693e-05,0.97849053
479,1.0725454,9.418055e-05,0.9785847
480,1.0698599,9.3944735e-05,0.97867864
481,1.067101,9.3702474e-05,0.97877234
482,1.0651402,9.35303e-05,0.97886586
483,1.0633111,9.336969e-05,0.9789592
484,1.0609818,9.3165145e-05,0.97905236
485,1.0585715,9.2953494e-05,0.97914535
486,1.0571985,9.283294e-05,0.97923815
487,1.0524174,9.24131e-05,0.97933054
488,1.0498381,9.2186616e-05,0.97942275
489,1.0485605,9.207443e-05,0.97951484
490,1.0458319,9.183483e-05,0.9796067
491,1.0442501,9.169593e-05,0.97969836
492,1.0392493,9.125681e-05,0.9797896
493,1.0380102,9.114801e-05,0.97988075
494,1.0376073,9.1112626e-05,0.9799719
495,1.0358981,9.096254e-05,0.98006284
496,1.0348746,9.0872665e-05,0.98015374
497,1.0330169,9.0709545e-05,0.98024446
498,1.0282204,9.028836e-05,0.98033476
499,1.0281079,9.027848e-05,0.98042506
500,1.0253289,9.003445e-05,0.9805151
501,1.022889,8.9820205e-05,0.98060495
502,1.0199251,8.9559944e-05,0.98069453
503,1.0175735,8.9353445e-05,0.9807839
504,1.0156075,8.9180816e-05,0.98087305
505,1.0139333,8.9033805e-05,0.9809621
506,1.0113027,8.880281e-05,0.9810509
507,1.0080527,8.851742e-05,0.9811394
508,1.0061975,8.8354514e-05,0.98122776
509,1.0040512,8.816605e-05,0.9813159
510,1.0021046,8.7995126e-05,0.9814039
511,0.9995372,8.776968e-05,0.9814917
512,0.99847996,8.767684e-05,0.98157936
513,0.9977436,8.7612185e-05,0.981667
514,0.9935596,8.7244785e-05,0.98175424
515,0.9913096,8.704721e-05,0.98184127
516,0.98753875,8.671609e-05,0.981928
517,0.9865954,8.6633256e-05,0.9820146
518,0.985867,8.656929e-05,0.98210114
519,0.9815151,8.618715e-05,0.98218733
