pc,var_explained,cum_var,direction,library,top_term,top_adj_p,combined_score
5,0.03003801219165325,0.6951588988304138,neg,TRRUST_Transcription_Factors_2019,LMO2 human,0.2701621895872507,136.4820277236255
5,0.03003801219165325,0.6951588988304138,neg,Human_Phenotype_Ontology,Papilloma (HP:0012740),0.3961114235366224,67.38940857682955
6,0.021431470289826393,0.7165903449058533,pos,GO_Biological_Process_2023,Endocytosis (GO:0006897),1.1063323573739332e-09,318.31669215009634
6,0.021431470289826393,0.7165903449058533,pos,GO_Molecular_Function_2023,Lipoprotein Particle Binding (GO:0071813),0.013603880583561908,202.0816743097091
6,0.021431470289826393,0.7165903449058533,pos,GO_Cellular_Component_2023,Platelet Alpha Granule (GO:0031091),2.4008425100721045e-07,299.96829466411464
6,0.021431470289826393,0.7165903449058533,pos,KEGG_2021_Human,Lysosome,1.1937259078284784e-06,204.72285692650144
6,0.021431470289826393,0.7165903449058533,pos,Reactome_2022,Platelet Degranulation R-HSA-114608,2.5287676075862677e-06,213.210914751715
6,0.021431470289826393,0.7165903449058533,pos,WikiPathway_2023_Human,VEGFA VEGFR2 Signaling WP3888,0.00011773577778805896,69.19339680580354
6,0.021431470289826393,0.7165903449058533,pos,MSigDB_Hallmark_2020,heme Metabolism,8.567883271599129e-10,246.03113001667265
6,0.021431470289826393,0.7165903449058533,pos,ChEA_2022,GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human,5.259607291859919e-08,73.67397262259249
6,0.021431470289826393,0.7165903449058533,pos,TRRUST_Transcription_Factors_2019,GATA1 human,0.0029527699683342,128.42832253074832
6,0.021431470289826393,0.7165903449058533,pos,Human_Phenotype_Ontology,Prolonged bleeding time (HP:0003010),2.4873432074231337e-05,690.6248819207933
6,0.021431470289826393,0.7165903449058533,neg,GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),2.1005094176966863e-36,5194.099667222258
6,0.021431470289826393,0.7165903449058533,neg,GO_Molecular_Function_2023,RNA Binding (GO:0003723),2.5122117354933928e-11,122.946430697907
6,0.021431470289826393,0.7165903449058533,neg,GO_Cellular_Component_2023,Ribosome (GO:0005840),2.8096136388460034e-23,3055.534362249246
6,0.021431470289826393,0.7165903449058533,neg,KEGG_2021_Human,Ribosome,2.514664232831987e-35,2861.7331308745215
6,0.021431470289826393,0.7165903449058533,neg,Reactome_2022,Eukaryotic Translation Elongation R-HSA-156842,1.0540380655435373e-40,6742.256233577588
6,0.021431470289826393,0.7165903449058533,neg,WikiPathway_2023_Human,Cytoplasmic Ribosomal Proteins WP477,3.3262213519296405e-38,5780.909604553666
6,0.021431470289826393,0.7165903449058533,neg,MSigDB_Hallmark_2020,Oxidative Phosphorylation,5.440241983386359e-11,288.5693815744541
6,0.021431470289826393,0.7165903449058533,neg,ChEA_2022,XRN2 22483619 ChIP-Seq HELA Human,2.6760300842353524e-16,228.45637494309852
