pc,var_explained,cum_var,direction,best_term_overall,best_library_overall,best_adj_p_overall,best_combined_overall
51,0.0009769612224772573,0.885017454624176,neg,Cyclin D Associated Events In G1 R-HSA-69231,Reactome_2022,0.00031470684908923674,263.7963592880561
52,0.0009717671782709658,0.885989248752594,pos,GATA1 human,TRRUST_Transcription_Factors_2019,0.0024884201770932167,128.42832253074832
52,0.0009717671782709658,0.885989248752594,neg,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,6.161939417419469e-07,143.16657037615133
53,0.0009506434435024858,0.8869398832321167,pos,heme Metabolism,MSigDB_Hallmark_2020,4.0761845192800455e-06,116.41047380303489
53,0.0009506434435024858,0.8869398832321167,neg,Myogenesis,MSigDB_Hallmark_2020,3.1479489330926854e-05,93.06883213570319
54,0.0009002419537864625,0.8878401517868042,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,4.658496593462909e-06,116.41047380303489
54,0.0009002419537864625,0.8878401517868042,neg,heme Metabolism,MSigDB_Hallmark_2020,0.0014532398861577995,55.79685681599258
55,0.000870618736371398,0.8887107968330383,pos,IL-2/STAT5 Signaling,MSigDB_Hallmark_2020,0.1177543299419293,20.490924669981364
55,0.000870618736371398,0.8887107968330383,neg,Glomerular Filtration (GO:0003094),GO_Biological_Process_2023,0.007368975882779517,536.2469711319385
56,0.0008658046717755497,0.8895766139030457,pos,Immune System R-HSA-168256,Reactome_2022,0.0006681292481187605,34.05020930861378
56,0.0008658046717755497,0.8895766139030457,neg,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.0015570427351690708,55.79685681599258
57,0.0008447642321698368,0.8904213905334473,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0077906839728840134,41.45060631295679
57,0.0008447642321698368,0.8904213905334473,neg,STAT4 human,TRRUST_Transcription_Factors_2019,0.026657273181584375,330.92884130781977
58,0.0008113191579468548,0.8912327289581299,pos,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,0.0003958122546765849,273.3824888472053
58,0.0008113191579468548,0.8912327289581299,neg,TFAP2A mouse,TRRUST_Transcription_Factors_2019,0.01627575011934848,391.61775629527256
59,0.0007916213944554329,0.8920243382453918,pos,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.00023893786790684795,72.93349778920441
59,0.0007916213944554329,0.8920243382453918,neg,Hypoxia,MSigDB_Hallmark_2020,0.001349437037146528,55.79685681599258
60,0.000777563895098865,0.8928018808364868,pos,heme Metabolism,MSigDB_Hallmark_2020,0.007980700655149477,41.45060631295679
60,0.000777563895098865,0.8928018808364868,neg,DNA Repair,MSigDB_Hallmark_2020,0.01868111220869187,35.589008662357394
61,0.0007696053362451494,0.8935714960098267,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,4.425571763789763e-06,116.41047380303489
61,0.0007696053362451494,0.8935714960098267,neg,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,7.0230317861957416e-09,207.7632625634895
62,0.0007530293660238385,0.894324541091919,pos,ECM-receptor interaction,KEGG_2021_Human,0.005505354231787472,92.30726282845026
62,0.0007530293660238385,0.894324541091919,neg,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Reactome_2022,0.00034361222548334123,149.33756474381147
63,0.0007313753594644368,0.895055890083313,pos,Interferon Gamma Response,MSigDB_Hallmark_2020,6.161939417419469e-07,143.16657037615133
63,0.0007313753594644368,0.895055890083313,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,5.734321584504753e-10,406.57105563201924
64,0.0007176153012551367,0.8957735300064087,pos,Receptor-Mediated Endocytosis (GO:0006898),GO_Biological_Process_2023,5.397911677789072e-06,222.24954780478234
64,0.0007176153012551367,0.8957735300064087,neg,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0014186389364873756,55.79685681599258
