,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
EDC3,-0.3409624,0.30703992,0.06810725,0.2099216,-0.2714336,-0.08178502,0.041899085,0.26628524,-0.07663965,0.73857605,-0.14126599,-0.5080968,-0.32044947,-0.05799532,0.47958344,-0.23067445
EDEM1,-0.13716817,0.1591146,-0.029093027,0.5669892,0.03297925,-0.06938577,-0.07109642,-0.18216372,0.1922965,-0.2539426,0.18920302,0.024229288,-0.0147640705,0.053095818,1.1191666,-0.8357525
EDEM2,-0.20751357,-0.03515184,0.0885874,-0.3954023,-0.16510785,0.15737414,-0.24390817,0.12911856,-0.036361814,0.40842295,-0.20889044,-0.3525108,0.19711256,-0.0783205,0.23235977,-0.3902912
EDEM3,-0.3273666,-0.00093877316,-0.25428534,-0.20163357,0.2368927,0.37400723,-0.5896926,-0.110358,0.52286386,-0.16162395,-0.08480549,0.04493594,0.46958625,-0.06305575,0.90487003,-0.54852664
EDF1,0.22801757,0.084513426,0.45790672,0.20682812,-0.29699802,-0.35458207,0.67451596,0.23308992,-0.7076144,0.35565495,0.036802888,-0.1752913,-0.17612576,0.2466619,0.47234297,0.39399862
EDRF1,-0.2813965,0.29561222,-0.227049,0.35761595,-0.070396066,0.11050701,-0.31926632,-0.07960796,0.11833608,0.27076304,0.16190708,-0.33804476,0.023016334,0.10712445,1.3654649,-0.44694245
EEA1,-0.25829077,0.14436543,-0.27630478,-0.08753985,0.07331073,0.12891442,-0.63720345,-0.19420534,0.0121206045,-0.1821801,0.07484555,0.16219318,0.30579865,0.010487437,1.2094378,-0.49985647
EED,-0.21744668,-0.062064826,-0.06318092,0.2989158,-0.06477684,0.037895143,-0.4504159,0.033158064,0.07249713,0.3168568,-0.12642592,-0.20410419,0.21339208,0.097736716,1.2019455,-0.0455454
EEF1A1,0.13118982,-0.20881891,0.13297796,0.36941767,0.13340712,-0.27586222,-0.18588305,-0.10383129,-0.38218498,0.06331205,0.13297796,-0.38832426,0.010859966,0.2697587,1.2682557,0.37150383
EEF1AKMT1,-0.1288265,0.16994476,0.3412187,0.061285496,-0.22262931,-0.1488924,0.2898395,0.4723519,-0.1262188,0.11896491,-0.004786253,-0.07838309,0.015041232,-0.073990226,0.9025276,0.55871606
EEF1AKMT2,-0.17318428,0.11100173,0.0472188,0.19232333,-0.039455295,-0.18313229,-0.18610358,-0.2471,-0.29996336,0.36236942,0.20852387,0.103995204,0.13360679,0.13644397,1.5358478,-0.13556778
EEF1AKMT3,-0.078333914,0.20306408,0.31856298,-0.2054438,-0.38273335,-0.1544267,0.21200776,0.21333471,-0.047548115,0.05313903,0.12483373,-0.13694838,0.22597313,0.04451275,1.0841668,0.19178689
EEF1AKMT4,-0.03912747,0.20935833,0.2425909,-0.64781904,-0.3344059,0.07508695,-0.047406554,0.35872757,-0.29810667,0.34409463,-0.14339685,-0.2710551,0.13200939,-0.055730343,0.36168098,0.183779
EEF1B2,0.15074909,-0.3670901,0.3002584,0.11637807,0.3822714,-0.086948276,-0.2294004,-0.1367569,-0.48874617,0.093215704,-0.0016868114,-0.3314376,0.3177166,0.22476017,1.0903567,0.5869508
EEF1D,0.14918298,-0.14151782,0.4410833,0.5070254,0.1866892,-0.05054176,0.114391744,0.15433729,-0.841783,0.3647685,-0.12500733,-0.83200485,-0.0601694,0.30673444,0.5882725,0.36135912
