pc,eig_real,perm_p50,perm_p99,above_p99
118,3.631709,18.26857280731201,18.319822902679444,False
119,3.5806794,18.242440223693848,18.27322620391846,False
120,3.5436108,18.21974754333496,18.257479496002198,False
121,3.5238519,18.200940132141113,18.24592712402344,False
122,3.5130417,18.171630859375,18.205723686218263,False
123,3.4915252,18.148147583007812,18.17789270401001,False
124,3.4464114,18.121089935302734,18.16111640930176,False
125,3.419612,18.102883338928223,18.138566646575928,False
126,3.3913946,18.07742404937744,18.09757501602173,False
127,3.3768501,18.05147075653076,18.09231197357178,False
128,3.372976,18.02933406829834,18.049984912872315,False
129,3.3221054,18.002744674682617,18.02647527694702,False
130,3.2861347,17.972454071044922,18.003227729797363,False
131,3.2686043,17.951221466064453,17.98678234100342,False
132,3.259593,17.928983688354492,17.96665126800537,False
133,3.2261086,17.895832061767578,17.939130840301512,False
134,3.2152135,17.874202728271484,17.921141033172606,False
135,3.2095275,17.853355407714844,17.89795331954956,False
136,3.189481,17.82665252685547,17.871052818298338,False
137,3.167189,17.796374320983887,17.840931816101076,False
138,3.1301665,17.766645431518555,17.80440929412842,False
139,3.1058502,17.74725914001465,17.791436862945556,False
140,3.0851145,17.722111701965332,17.76596145629883,False
141,3.0568516,17.69807720184326,17.73830728530884,False
142,3.0488372,17.67238140106201,17.702953262329103,False
143,3.0337963,17.652932167053223,17.680656967163085,False
144,3.0241182,17.62957191467285,17.658377628326416,False
145,2.9842143,17.60292911529541,17.640763492584227,False
146,2.953588,17.573652267456055,17.60563407897949,False
147,2.949277,17.545754432678223,17.59199962615967,False
148,2.9338229,17.52635955810547,17.56983190536499,False
149,2.9272516,17.50169849395752,17.525405864715577,False
150,2.9087677,17.484501838684082,17.508058643341066,False
151,2.904192,17.458229064941406,17.497653121948243,False
152,2.8887606,17.435452461242676,17.47191463470459,False
153,2.8672655,17.416061401367188,17.456621170043945,False
154,2.846184,17.3913516998291,17.425172595977784,False
155,2.8458912,17.365239143371582,17.38878959655762,False
156,2.7994936,17.34153461456299,17.379108428955078,False
157,2.7830126,17.311769485473633,17.345063247680663,False
158,2.7735498,17.292675971984863,17.309604682922362,False
159,2.759838,17.262956619262695,17.28564311981201,False
160,2.7508068,17.236577033996582,17.27099126815796,False
161,2.731573,17.222557067871094,17.25669858932495,False
162,2.7126522,17.199995040893555,17.224183597564696,False
163,2.7029998,17.175135612487793,17.19332763671875,False
164,2.6683347,17.14707851409912,17.171310138702392,False
165,2.6659586,17.126949310302734,17.140411949157716,False
166,2.6550198,17.10318088531494,17.116409854888914,False
167,2.6420248,17.079766273498535,17.09456247329712,False
168,2.6207967,17.05408477783203,17.077183475494383,False
169,2.6118183,17.031991004943848,17.05253646850586,False
170,2.592665,17.00759792327881,17.03797773361206,False
171,2.581603,16.982147216796875,17.01389612197876,False
172,2.5625253,16.965298652648926,16.98664571762085,False
173,2.557416,16.945209503173828,16.96881757736206,False
