col,pc,rho,p,n
SME2ANTI,PC2,-0.1756457400206849,5.484098266953311e-07,803
SME2ANTI,PC6,-0.0484064508344944,0.17057065171114752,803
SME1PCTS,PC1,0.029514927174452126,0.40357634783004104,803
SME1PCTS,PC2,-0.1875023856627709,8.671479624440925e-08,803
SME1PCTS,PC6,-0.036061382781240325,0.3074341817837596,803
SME2PCTS,PC1,0.02052287502250246,0.5614310997100522,803
SME2PCTS,PC2,0.15615075364604242,8.77749349965776e-06,803
SME2PCTS,PC6,0.05019967228556729,0.15525832398542064,803
SMGNSDTC,PC1,0.5790558987372971,4.428800186407314e-73,803
SMGNSDTC,PC2,0.4040257914402791,6.969014352417045e-33,803
SMGNSDTC,PC6,-0.14688093107726385,2.935662527586465e-05,803
SMRRNARD,PC1,-0.18518243262625597,1.255921272764285e-07,803
SMRRNARD,PC2,0.16146470593201057,4.254514058115927e-06,803
SMRRNARD,PC6,-0.24481252077894172,2.0096500714414675e-12,803
SMRRNART,PC1,-0.14263447197091142,4.984980615586068e-05,803
SMRRNART,PC2,0.20374688617522202,5.682251581553059e-09,803
SMRRNART,PC6,-0.23332360160941537,2.170673993287674e-11,803
SMMFLGTH,PC1,0.0915850503267488,0.009412816907940966,803
SMMFLGTH,PC2,0.09553422329871378,0.006745398690880665,803
SMMFLGTH,PC6,-0.0695797970034869,0.048721797032404784,803
SMSFLGTH,PC1,0.033306981063325254,0.34587547784290484,803
SMSFLGTH,PC2,-0.04025747025496721,0.25450674285771663,803
SMSFLGTH,PC6,-0.00209534991640797,0.9527258779174131,803
SMMDFLGTH,PC1,0.09602274108710272,0.0064677044703189725,803
SMMDFLGTH,PC2,0.10995022478172693,0.0018066768481607052,803
SMMDFLGTH,PC6,-0.08439300571801395,0.01675642589377607,803
SMSMFLGTH,PC1,0.05276613144045711,0.1351863655365717,803
SMSMFLGTH,PC2,0.056624101354451055,0.10885551530815459,803
SMSMFLGTH,PC6,-0.06343711649540523,0.07239227111509733,803
SMFGCMN,PC1,-0.18844378715730162,7.451390081692786e-08,803
SMFGCMN,PC2,-0.6831877232621871,1.786992364544901e-111,803
SMFGCMN,PC6,0.10391457036744624,0.0031978430073640435,803
SMFGCSD,PC1,0.25052799762308986,5.87296737784918e-13,803
SMFGCSD,PC2,0.6862015609155425,7.921682341167979e-113,803
SMFGCSD,PC6,-0.13550484322765832,0.00011733344443760912,803
SMFGCSK,PC1,0.1654732891382629,2.4255483446450947e-06,803
SMFGCSK,PC2,0.23543358569802889,1.4151806586766724e-11,803
SMFGCSK,PC6,-0.1126125829642544,0.0013918646565688937,803
SMFGCKT,PC1,-0.12146783558751494,0.0005616604132276837,803
SMFGCKT,PC2,-0.6174703990196438,1.428252771632983e-85,803
SMFGCKT,PC6,0.17003144172059953,1.2594514417521622e-06,803
SM3PBMN,PC1,-0.19137486472123424,4.624358300296097e-08,803
SM3PBMN,PC2,-0.0922799306945357,0.008884390051584394,803
SM3PBMN,PC6,-0.18413547718563805,1.482170292876503e-07,803
