tissue,pc,score
blood,1,-4.446704387664795
blood,1,-33.66133117675781
blood,1,42.69279861450195
blood,1,-53.78818130493164
blood,1,42.87352752685547
blood,1,81.45710754394531
blood,1,-6.194011688232422
blood,1,-77.21208190917969
blood,1,-96.90217590332031
blood,1,-31.476848602294922
blood,1,-83.60749816894531
blood,1,104.0442886352539
blood,1,-48.11865234375
blood,1,-33.275428771972656
blood,1,78.24927520751953
blood,1,-39.88360595703125
blood,1,16.416791915893555
blood,1,-46.304100036621094
blood,1,36.16470718383789
blood,1,149.84503173828125
blood,1,43.83155822753906
blood,1,-29.76288414001465
blood,1,-25.07941436767578
blood,1,18.467824935913086
blood,1,72.6333236694336
blood,1,70.81452941894531
blood,1,104.76109313964844
blood,1,-63.578147888183594
blood,1,95.74341583251953
blood,1,-27.916336059570312
blood,1,84.8148422241211
blood,1,68.81464385986328
blood,1,48.434200286865234
blood,1,117.40924835205078
blood,1,14.616789817810059
blood,1,-11.315543174743652
blood,1,-62.19499969482422
blood,1,13.384414672851562
blood,1,45.60905838012695
blood,1,-133.5014190673828
blood,1,48.976707458496094
blood,1,-70.19941711425781
blood,1,-7.59971284866333
blood,1,-32.57382583618164
blood,1,-93.76026153564453
blood,1,-39.01694107055664
blood,1,-8.564218521118164
blood,1,-40.442420959472656
blood,1,-88.01671600341797
blood,1,36.63139343261719
blood,1,-63.66765213012695
blood,1,10.54491901397705
blood,1,-36.40392303466797
blood,1,91.72572326660156
blood,1,76.4537353515625
blood,1,-48.388160705566406
blood,1,-112.5602798461914
blood,1,-29.441505432128906
blood,1,20.048450469970703
blood,1,-43.66674041748047
blood,1,69.7253646850586
blood,1,-12.616312026977539
blood,1,80.39860534667969
blood,1,35.3143196105957
blood,1,-80.65341186523438
blood,1,63.92894744873047
blood,1,-0.6656482815742493
blood,1,38.33600616455078
blood,1,-105.51917266845703
blood,1,32.62697982788086
blood,1,-51.18442916870117
blood,1,53.596527099609375
blood,1,-60.582401275634766
blood,1,-21.468706130981445
blood,1,-86.1202163696289
blood,2,-118.1571044921875
blood,2,50.45981979370117
blood,2,-71.74427795410156
blood,2,39.82034683227539
blood,2,69.36750793457031
blood,2,-21.698230743408203
blood,2,84.60481262207031
blood,2,-29.08333969116211
blood,2,-97.6570816040039
blood,2,-66.23077392578125
blood,2,52.20185852050781
blood,2,-46.99950408935547
blood,2,-122.54816436767578
blood,2,-32.83722686767578
blood,2,52.57887268066406
blood,2,-17.62242889404297
blood,2,61.13888931274414
blood,2,-62.234806060791016
blood,2,19.906484603881836
blood,2,58.48738098144531
blood,2,-83.80461883544922
blood,2,-82.9755859375
blood,2,28.495819091796875
blood,2,-6.773520469665527
blood,2,-78.24440002441406
blood,2,-40.70513916015625
blood,2,36.95058822631836
blood,2,57.25404357910156
blood,2,24.401103973388672
blood,2,-32.764190673828125
blood,2,5.944246292114258
blood,2,-56.73677062988281
blood,2,13.402528762817383
blood,2,-74.0728988647461
blood,2,-100.70735168457031
blood,2,19.264667510986328
blood,2,61.116432189941406
blood,2,41.77729415893555
blood,2,-117.1670150756836
blood,2,54.67206954956055
blood,2,-105.22821044921875
blood,2,25.79665756225586
blood,2,-10.762505531311035
blood,2,45.94876480102539
blood,2,-11.476561546325684
blood,2,27.542987823486328
blood,2,85.52509307861328
blood,2,-60.279136657714844
blood,2,30.16524887084961
blood,2,-108.28938293457031
blood,2,19.61345863342285
blood,2,3.802992343902588
blood,2,67.44371795654297
blood,2,-46.30763244628906
