rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library,var_explained,cum_var
1,Protein Homodimerization Activity (GO:0042803),1.1519138707756116e-05,3.315680166147456,37.70425923232132,SH3GLB1;CDA;NQO2;FCER1G;DGAT2;GCA;GADD45A;SLC11A1;DNTTIP1;IRAK3;TXN;NLRC4;TPST1;TYROBP;IMPA2;S100A6;S100P;NUDT16;GYG1;S100A11,0.0029834569253088,0,0,1,neg,GO_Molecular_Function_2023,0.31109592,0.31109592
2,RAGE Receptor Binding (GO:0050786),5.316209909646768e-05,60.28934010152284,593.3776232841345,S100A12;S100A9;S100A8,0.0068844918329925,0,0,1,neg,GO_Molecular_Function_2023,0.31109592,0.31109592
3,Metal Ion Binding (GO:0046872),0.0007911119110601,2.8642234523127823,20.456487599197526,GCA;DYSF;IRAK3;NLRC4;MYL12A;PINK1;SELL;S100A6;S100A12;S100P;NUDT16;CLEC4E;S100A9;S100A8,0.0430671378073373,0,0,1,neg,GO_Molecular_Function_2023,0.31109592,0.31109592
1,Osteoclast differentiation,6.05155203164373e-07,8.854251012145749,126.77322582769185,LILRA6;SPI1;TYROBP;NCF2;NCF4;LILRA2;LILRB3;SIRPB1;MAP2K6;LILRA5,0.0001149794886012,0,0,1,neg,KEGG_2021_Human,0.31109592,0.31109592
2,Salmonella infection,0.0002125507074237,4.307641488658886,36.426837841647966,MAP2K3;CASP4;RHOG;LY96;TXN;NLRC4;TLR5;TLR4;MYL12A;MAP2K6,0.0201923172052578,0,0,1,neg,KEGG_2021_Human,0.31109592,0.31109592
3,Fc epsilon RI signaling pathway,0.0005949605404203,8.032967032967033,59.66097044986614,MAP2K3;FCER1G;ALOX5;ALOX5AP;MAP2K6,0.0376808342266195,0,0,1,neg,KEGG_2021_Human,0.31109592,0.31109592
1,Complement,5.688996854924951e-06,6.039052658100277,72.93349778920441,CDA;SERPINA1;FCER1G;GCA;GNB2;CASP4;RHOG;S100A12;CD59;S100A9;MSRB1,0.000221870877342,0,0,1,neg,MSigDB_Hallmark_2020,0.31109592,0.31109592
2,PI3K/AKT/mTOR  Signaling,0.0040960318506073,5.051282051282051,27.770618287278307,MAP2K3;RALB;MKNK1;RPS6KA1;MAP2K6,0.0798726210868424,0,0,1,neg,MSigDB_Hallmark_2020,0.31109592,0.31109592
3,Inflammatory Response,0.0154939907818328,3.1256244021681368,13.025424015927582,CSF3R;IL18RAP;SELL;AQP9;FPR1;RHOG,0.1510664101228698,0,0,1,neg,MSigDB_Hallmark_2020,0.31109592,0.31109592
1,Lysosomal Membrane (GO:0005765),1.4823479684101968e-05,4.282399547255235,47.61727744540079,RAB2A;ATP6V1A;TMEM30A;STX7;SPPL2A;CMTM6;AP3B1;PSEN1;TM6SF1;TMEM165;CLN5;LMBRD1;RAB14;GNB4,0.0024162271885086,0,0,2,pos,GO_Cellular_Component_2023,0.2021044,0.51320034
2,Lytic Vacuole Membrane (GO:0098852),3.377535534191226e-05,4.531914893617022,46.65959488631046,RAB2A;ATP6V1A;LMBRD1;RAB14;STX7;SPPL2A;GNB4;AP3B1;PSEN1;TM6SF1;TMEM165;CLN5,0.0026551114789262,0,0,2,pos,GO_Cellular_Component_2023,0.2021044,0.51320034
3,Lysosome (GO:0005764),4.886708243422524e-05,3.4484421033836266,34.230638278916764,RAB2A;ATP6V1A;STX7;SPPL2A;AP3B1;PSEN1;TM6SF1;TMEM165;CLN5;LMBRD1;AP5M1;RAB14;SNX14;GNB4;MFSD1;SNX6,0.0026551114789262,0,0,2,pos,GO_Cellular_Component_2023,0.2021044,0.51320034
1,Toll Like Receptor Signaling Related To MyD88 WP3858,1.105992394212401e-05,20.28205128205128,231.46246946256952,TLR1;TBK1;MAPK1;IRAK4;TIRAP,0.0034949359657111,0,0,2,pos,WikiPathway_2023_Human,0.2021044,0.51320034
2,Insulin Signaling WP481,0.0002120125253632,5.385964912280702,45.559151181800544,RPS6KA3;GSK3B;STXBP3;MAPK1;PIK3C3;SOS2;PIK3CG;MAP3K5,0.0209907256739931,0,0,2,pos,WikiPathway_2023_Human,0.2021044,0.51320034
3,Alzheimer 39 S Disease And miRNA Effects WP2059,0.0003003091678905,4.11578947368421,33.38192567626217,PPP3CA;GSK3B;PSMD12;APC;ADAM10;MAPK1;PIK3C3;PSEN1;RTN4;MAP3K5,0.0209907256739931,0,0,2,pos,WikiPathway_2023_Human,0.2021044,0.51320034
1,NRF1 human,0.0095900084936835,15.374514374514376,71.44588341233826,PRDX3;SPAST,0.4144600402200337,0,0,2,pos,TRRUST_Transcription_Factors_2019,0.2021044,0.51320034
2,CDX2 human,0.0405554933220173,6.656565656565657,21.334852328849312,GSK3B;APC,0.4144600402200337,0,0,2,pos,TRRUST_Transcription_Factors_2019,0.2021044,0.51320034
3,MEIS2 mouse,0.0585267307609904,19.894472361809044,56.46591775214154,TGFBR2,0.4144600402200337,0,0,2,pos,TRRUST_Transcription_Factors_2019,0.2021044,0.51320034
