pc,var_explained_pct,cum_var_pct,pos_term,pos_library,pos_adj_p,neg_term,neg_library,neg_adj_p,best_continuous_var,best_continuous_rho,best_categorical_var,best_categorical_eta2
55,0.087061874,88.87108,IL-2/STAT5 Signaling,MSigDB_Hallmark_2020,0.1177543299419293,Glomerular Filtration (GO:0003094),GO_Biological_Process_2023,0.0073689758827795,SMRDLGTH,0.0736581005357336,SMNABTCH,0.2204373200018441
56,0.08658046999999999,88.95766,Immune System R-HSA-168256,Reactome_2022,0.0006681292481187,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.001557042735169,AGE_mid,0.0702707846485651,SMGEBTCH,0.1960828508300293
57,0.084476423,89.04214,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.007790683972884,STAT4 human,TRRUST_Transcription_Factors_2019,0.0266572731815843,SMTSISCH,0.0640945300265493,SMNABTCH,0.1546592739131272
58,0.081131916,89.12327,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,0.0003958122546765,TFAP2A mouse,TRRUST_Transcription_Factors_2019,0.0162757501193484,SMRDLGTH,0.0575012557786789,SMNABTCH,0.2151482887627034
59,0.07916213999999999,89.202434,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.0002389378679068,Hypoxia,MSigDB_Hallmark_2020,0.0013494370371465,AGE_mid,0.0668577617385927,SMNABTCH,0.2437188791045636
60,0.07775639,89.28019,heme Metabolism,MSigDB_Hallmark_2020,0.0079807006551494,DNA Repair,MSigDB_Hallmark_2020,0.0186811122086918,SMRIN,0.0278595842259232,SMNABTCH,0.2076046394740232
61,0.076960534,89.35714999999999,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,4.425571763789763e-06,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,7.023031786195741e-09,SMTSISCH,0.0661638018331795,SMNABTCH,0.181425451633043
62,0.075302937,89.43245399999999,ECM-receptor interaction,KEGG_2021_Human,0.0055053542317874,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Reactome_2022,0.0003436122254833,SMRDLGTH,0.0656962481680439,SMNABTCH,0.1894390535440345
63,0.073137536,89.50559,Interferon Gamma Response,MSigDB_Hallmark_2020,6.161939417419469e-07,Interferon Alpha Response,MSigDB_Hallmark_2020,5.734321584504753e-10,SMTSISCH,0.098065791818445,SMNABTCH,0.1607395098502659
64,0.07176153,89.577353,Receptor-Mediated Endocytosis (GO:0006898),GO_Biological_Process_2023,5.397911677789072e-06,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0014186389364873,AGE_mid,0.0482848933190992,SMNABTCH,0.1316904408670672
65,0.069854426,89.64721,Cilium Assembly (GO:0060271),GO_Biological_Process_2023,0.0012859799067171,Metallothioneins Bind Metals R-HSA-5661231,Reactome_2022,2.8874546504259945e-05,AGE_mid,0.0798097396298157,SMNABTCH,0.1507082731839644
66,0.06814924,89.71536,SRF mouse,TRRUST_Transcription_Factors_2019,0.0001026320652409,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,6.015226574147577e-07,SMTSISCH,0.0345588676370626,SMNABTCH,0.1166003745072857
67,0.0649493,89.78031,Interferon Alpha Response,MSigDB_Hallmark_2020,5.633069669871428e-18,Interferon Gamma Response,MSigDB_Hallmark_2020,4.542034178626336e-06,AGE_mid,0.0839023778693627,SMGEBTCH,0.1056026085962567
68,0.06445094999999999,89.844763,Negative Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043124),GO_Biological_Process_2023,0.0736752767747165,Attenuation Phase R-HSA-3371568,Reactome_2022,0.0001077356713427,AGE_mid,0.1331835882973786,SMNABTCH,0.1762524348855136
69,0.06416568,89.90893,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0120069161638434,Lysosome,KEGG_2021_Human,0.0071355992463318,SMRIN,0.0464889016292935,SMNABTCH,0.2190102611897981
70,0.062637025,89.971566,p53 Pathway,MSigDB_Hallmark_2020,0.0081707173374149,KRAS Signaling Up,MSigDB_Hallmark_2020,0.0354941131965145,SMRIN,0.0554282939478078,SMNABTCH,0.2354245926953699
71,0.06125304,90.03282,SP1 human,TRRUST_Transcription_Factors_2019,0.0010826272928352,Interferon Alpha Response,MSigDB_Hallmark_2020,8.763771333118118e-09,SMRDLGTH,0.0440856156885178,SMNABTCH,0.1508560571834783
72,0.059624086,90.092444,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,4.774959008299482e-06,Response To Prostaglandin E (GO:0034695),GO_Biological_Process_2023,0.0027800009137579,AGE_mid,0.0358841446543254,SMGEBTCH,0.1607099736027369
73,0.058466644000000005,90.15091,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),GO_Biological_Process_2023,0.0329175152837923,Apelin signaling pathway,KEGG_2021_Human,0.0021054319605628,SMTSISCH,0.0112253532411464,SMNABTCH,0.1989398705540849
74,0.056702446,90.20761,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,0.0001168577096514,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.0002332488710519,SMRDLGTH,0.0660993632760769,SMNABTCH,0.2277790392095222
75,0.055077589999999996,90.26269,Intermediate Filament Organization (GO:0045109),GO_Biological_Process_2023,0.0062405903368472,Integrin Cell Surface Interactions R-HSA-216083,Reactome_2022,0.0008728456654185,DTHHRDY,0.028846409055958,SMNABTCH,0.1421858054898391
76,0.054668676,90.317357,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.003895341986442,Regulation Of Angiogenesis (GO:0045765),GO_Biological_Process_2023,0.0569589227204872,SMRDLGTH,0.0558304555104551,SMNABTCH,0.1216914552954852
